Indicator,Date,Measure,Area,Characteristic,Breakdown,Value,LCI,UCI,
Deaths with any mention of diabetes by sex and age,2020,Crude rates,Wales,65-74 Female,Covid deaths,27.9,[x],[x],
Deaths with any mention of diabetes by sex and age,2021,Crude rates,Wales,65-74 Female,Covid deaths,31.1,[x],[x],
Deaths with any mention of diabetes by sex and age,2022,Crude rates,Wales,65-74 Female,Covid deaths,3.2,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2013,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,38.16,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2014,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,36.6,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2015,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,35.9,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2016,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,36,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2017,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,34,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2018,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,33.4,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2013,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,62.5,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2014,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,53.6,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2015,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,48.8,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2016,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,45.2,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2017,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,44.2,[x],[x],
Practices meeting all diabetes treatment targets and care processes,2018,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,43,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q1 20/21,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,21.6,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q2 20/21,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,19.7,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q3 20/21,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,18.1,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q4 20/21,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,16,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q1 21/22,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,15.2,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q2 21/22,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,17.7,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q3 21/22,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,17.7,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q4 21/22,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,18,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q1 22/23,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,19.2,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q2 22/23,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,21.9,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q3 22/23,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,22.4,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q4 22/23,Percentage,Wales,Persons aged 17+,All Treatment Targets Met,22,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q1 20/21,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,33.4,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q2 20/21,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,28.2,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q3 20/21,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,24.6,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q4 20/21,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,21.1,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q1 21/22,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,18.8,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q2 21/22,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,24.1,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q3 21/22,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,25,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q4 21/22,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,28.4,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q1 22/23,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,32.8,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q2 22/23,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,37.7,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q3 22/23,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,39.1,[x],[x],
Practices meeting all diabetes treatment targets and care processes,Q4 22/23,Percentage,Wales,Persons aged 17+,All 8 Care Processes Completed,40.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons,Type 1,1.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons,Type 1,1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons,Type 1,1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons,Type 1,1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons,Type 1,0.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons,Type 1,0.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons,Type 1,0.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons,Type 1,0.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2015,Percentage,Wales,Persons,Type 1,1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2016,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2017,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2018,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2019,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2020,Percentage,Wales,Persons,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2021,Percentage,Wales,Persons,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons,Type 2,5.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons,Type 2,6,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons,Type 2,6.6,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons,Type 2,7.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons,Type 2,7.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons,Type 2,7.6,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons,Type 2,8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons,Type 2,8.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons,Type 2,9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons,Type 2,8.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons,Type 2,9.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons,Type 2,9.8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons,Type 2,10.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2015,Percentage,Wales,Persons,Type 2,9.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2016,Percentage,Wales,Persons,Type 2,10.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2017,Percentage,Wales,Persons,Type 2,10.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2018,Percentage,Wales,Persons,Type 2,10.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2019,Percentage,Wales,Persons,Type 2,10.6,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2020,Percentage,Wales,Persons,Type 2,12.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2021,Percentage,Wales,Persons,Type 2,11.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2015,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2016,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2017,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2018,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2019,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2020,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2021,Percentage,Wales,Persons,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons under 75,Type 1,1.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons under 75,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons under 75,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons under 75,Type 1,1.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons under 75,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons under 75,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons under 75,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons under 75,Type 1,1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons under 75,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons under 75,Type 1,1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons under 75,Type 1,1.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons under 75,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons under 75,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2015,Percentage,Wales,Persons under 75,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2016,Percentage,Wales,Persons under 75,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2017,Percentage,Wales,Persons under 75,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2018,Percentage,Wales,Persons under 75,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2019,Percentage,Wales,Persons under 75,Type 1,1.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2020,Percentage,Wales,Persons under 75,Type 1,1.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2021,Percentage,Wales,Persons under 75,Type 1,1.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons under 75,Type 2,4.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons under 75,Type 2,4.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons under 75,Type 2,4.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons under 75,Type 2,5.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons under 75,Type 2,5.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons under 75,Type 2,5.6,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons under 75,Type 2,5.7,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons under 75,Type 2,6,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons under 75,Type 2,6.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons under 75,Type 2,6.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons under 75,Type 2,6.6,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons under 75,Type 2,6.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons under 75,Type 2,7,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2015,Percentage,Wales,Persons under 75,Type 2,7,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2016,Percentage,Wales,Persons under 75,Type 2,7.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2017,Percentage,Wales,Persons under 75,Type 2,7,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2018,Percentage,Wales,Persons under 75,Type 2,7.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2019,Percentage,Wales,Persons under 75,Type 2,7.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2020,Percentage,Wales,Persons under 75,Type 2,8.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2021,Percentage,Wales,Persons under 75,Type 2,8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2015,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2016,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2017,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2018,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2019,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2020,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2021,Percentage,Wales,Persons under 75,Other and unspecified,0.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons,0-44,1.6,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons,45-64,8.6,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons,65-74,14,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2002,Percentage,Wales,Persons,75+,11.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons,0-44,1.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons,45-64,9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons,65-74,15.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2003,Percentage,Wales,Persons,75+,12.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons,0-44,1.7,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons,45-64,9.7,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons,65-74,15.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2004,Percentage,Wales,Persons,75+,13.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons,0-44,1.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons,45-64,10.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons,65-74,17.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2005,Percentage,Wales,Persons,75+,14.8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons,0-44,1.8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons,45-64,10.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons,65-74,17.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2006,Percentage,Wales,Persons,75+,15.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons,0-44,1.8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons,45-64,10.8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons,65-74,17.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2007,Percentage,Wales,Persons,75+,15.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons,0-44,1.8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons,45-64,11.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons,65-74,17.8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2008,Percentage,Wales,Persons,75+,16.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons,0-44,1.8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons,45-64,11.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons,65-74,18.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2009,Percentage,Wales,Persons,75+,17.4,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons,0-44,1.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons,45-64,12.7,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons,65-74,19.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2010,Percentage,Wales,Persons,75+,18.5,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons,0-44,1.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons,45-64,12.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons,65-74,19.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2011,Percentage,Wales,Persons,75+,18.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons,0-44,1.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons,45-64,13.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons,65-74,19.7,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2012,Percentage,Wales,Persons,75+,19,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons,0-44,2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons,45-64,13.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons,65-74,20.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2013,Percentage,Wales,Persons,75+,19.8,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons,0-44,2.1,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons,45-64,14.2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons,65-74,20.9,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2014,Percentage,Wales,Persons,75+,20.3,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2015,Percentage,Wales,Persons,0-44,2,[x],[x],
Percentage of total inpatient admissions with any mention of diabetes (E10-E14) by type,2015,Percentage,Wales,Persons,45-64,14.7,[x],[x],
